"","Data_Collection_Season","Date","Proj.Plot","Grid","Plant_tag","X_Coord","Y_Coord","Tool","POM","DBH_mm","Height_m","Veg_Type","Notes","ID"
"87","Summer_2021",2021-07-19,"DF_3B","B10/C11","3020",1.9,4.1,"CP",1,12.7,3.2,"Liana","","ECH 43"
"88","Summer_2021",2021-07-19,"DF_3B","B10/C11","2341",1.7,1.5,"CP",0.3,14.7,3.1,"Liana","","#N/A"
"89","Summer_2021",2021-07-19,"DF_3B","J8/K9","5398",2.3,2.1,"CP",1,23.4,21,"Liana","","Undetermined"
"90","Summer_2021",2021-07-19,"DF_3B","J8/K9","2715",1.9,2,"DBH",1.3,89,10,"Sapling","","Greenwayodendron suaveolens"
"91","Summer_2021",2021-07-19,"DF_3B","J8/K9","3852",1.9,2.3,"CP",0.4,7.5,4,"Liana","","ECH 43"
"92","Summer_2021",2021-07-19,"DF_3B","J8/K9","3192",0.8,2.1,"CP",0.3,17.9,1.8,"Sapling","","Coffea sp 1"
"93","Summer_2021",2021-07-19,"DF_3B","J8/K9","4892",0.3,1.6,"CP",1.3,42.5,5.8,"Sapling","","Synsepalum longifolia"
"94","Summer_2021",2021-07-19,"DF_3B","J8/K9","5132",0.8,1.15,"CP",0.4,11.6,1.75,"Sapling","","ECH 48"
"95","Summer_2021",2021-07-19,"DF_3B","J8/K9","5133",1.4,0.4,"CP",0.4,9.2,11,"Liana","","#N/A"
"96","Summer_2021",2021-07-19,"DF_3B","J8/K9","1040",2.4,1.2,"CP",0.3,12.6,1.6,"Liana","","ECH 42"
"97","Summer_2021",2021-07-19,"DF_3B","J8/K9","2711",2.6,1.4,"DBH",0.4,67,25,"Liana","","Undetermined"
"98","Summer_2021",2021-07-19,"DF_3B","J8/K9","5388",2.6,2.3,"CP",0.3,9.5,1.7,"Sapling","","Afrostyrax lepidophyllus"
"99","Summer_2021",2021-07-19,"DF_3B","J8/K9","7086",3.9,2.1,"CP",1.3,8.7,2.2,"Sapling","","Lichostema glanscesens"
"100","Summer_2021",2021-07-19,"DF_3B","J8/K9","7092",4.7,1.2,"CP",1.3,38.7,9,"Sapling","","Dialium dinklagei"
"101","Summer_2021",2021-07-19,"DF_3B","J8/K9","7002",4.6,1.2,"CP",0.3,7.1,11,"Liana","","ECH 43"
"102","Summer_2021",2021-07-19,"DF_3B","J8/K9","1203",4.1,0.2,"CP",1,11.7,2.5,"Sapling","","Chytranthus talbotii"
"103","Summer_2021",2021-07-19,"DF_3B","J8/K9","7023",5,0.4,"CP",0.4,10.7,1.9,"Sapling","","ECH 48"
"104","Summer_2021",2021-07-19,"DF_3B","J8/K9","7039",4.8,0,"CP",0.3,13.3,1.9,"Sapling","","Landolphia sp 1"
"105","Summer_2021",2021-07-19,"DF_3B","J8/K9","7046",4.9,0.6,"CP",1,22.8,3.2,"Sapling","","Chytranthus talbotii"
"106","Summer_2021",2021-07-19,"DF_3B","J8/K9","3582",3.8,0,"CP",0.3,3.9,2,"Liana","","ECH 21"
"107","Summer_2021",2021-07-19,"DF_3B","J8/K9","7071",4.7,0.8,"CP",0.3,10.2,2.55,"Liana","","ECH 43"
"108","Summer_2021",2021-07-19,"DF_3B","J8/K9","7036",4.7,2.1,"CP",0.4,20.7,1.9,"Liana","","Clenianthus gabonii"
"109","Summer_2021",2021-07-19,"DF_3B","A10/B11","7140",2,0.6,"DBH",1.3,78,9.5,"Sapling","","Santiria trimera"
"110","Summer_2021",2021-07-19,"DF_3B","I8/J9","3176",5,4.25,"CP",0.4,4.3,2.1,"Liana","","#N/A"
"111","Summer_2021",2021-07-19,"DF_3B","I8/J9","3190",5,4.25,"CP",1,10.8,2.15,"Liana","","#N/A"
"112","Summer_2021",2021-07-19,"DF_3B","I8/J9","3138",4.4,3.6,"CP",0.5,11.2,1.8,"Sapling","","Scorodophloeus zenkeri"
"113","Summer_2021",2021-07-19,"DF_3B","I8/J9","3122",3.2,3.1,"CP",1.3,16.4,2.1,"Sapling","","Lichostema glanscesens"
"114","Summer_2021",2021-07-19,"DF_3B","I8/J9","2163",4.2,2.2,"CP",0.4,8.2,1.5,"Sapling","","Chytranthus talbotii"
"115","Summer_2021",2021-07-19,"DF_3B","I8/J9","2117",4.3,2,"CP",0.3,13.6,1.7,"Sapling","","Strombosia pustulata"
"116","Summer_2021",2021-07-19,"DF_3B","I8/J9","3838",3,2.8,"DBH",1.3,154,18,"Tree","height estimated","Picralima nitida"
"117","Summer_2021",2021-07-19,"DF_3B","I8/J9","3831",2.4,2.9,"CP",1,12.6,1.5,"Sapling","","Baphia leptobotrys"
"118","Summer_2021",2021-07-19,"DF_3B","I8/J9","3885",3.4,2,"CP",1,12.7,2.5,"Sapling","","ECH 71"
"119","Summer_2021",2021-07-19,"DF_3B","I8/J9","3857",3.4,2,"CP",0.3,16.9,1.7,"Sapling","","ECH 48"
"120","Summer_2021",2021-07-19,"DF_3B","I8/J9","3879",3.1,1.4,"CP",0.3,4.5,1.6,"Liana","","#N/A"
"121","Summer_2021",2021-07-19,"DF_3B","I8/J9","2101",1.8,0.1,"CP",1.3,28.6,5.5,"Sapling","","#N/A"
"122","Summer_2021",2021-07-19,"DF_3B","I8/J9","2511",5,0.2,"DBH",1.3,67,22,"Liana","height estimated","Agelaea paradoxa"
"123","Summer_2021",2021-07-19,"DF_3B","I8/J9","3191",4.8,0.6,"DBH",1.6,669,23,"Tree","height estimated","Pentaclethra macrophylla"
"124","Summer_2021",2021-07-19,"DF_3B","J8/K9","7082",4.5,3.9,"CP",0.3,9.4,1.8,"Liana","","Landolphia incerta"
"125","Summer_2021",2021-07-19,"DF_3B","J8/K9","1238",4.3,3.8,"CP",0.4,10.2,2.1,"Sapling","","Chytranthus talbotii"
"126","Summer_2021",2021-07-19,"DF_3B","J8/K9","7070",3.9,4.6,"CP",0.4,11.2,1.7,"Sapling","","Scorodophloeus zenkeri"
"127","Summer_2021",2021-07-19,"DF_3B","J8/K9","5849",1.7,4,"CP",1,5.7,1.6,"Sapling","","ECH 48"
"128","Summer_2021",2021-07-19,"DF_3B","J8/K9","5391",0.7,4.6,"CP",1,7.4,2,"Sapling","","Dialium pachyphyllum"
"129","Summer_2021",2021-07-19,"DF_3B","J8/K9","4418",2,2.3,"CP",0.4,9.5,1.8,"Sapling","",""
"130","Summer_2021",2021-07-19,"DF_3B","J8/K9","2714",2.2,2.3,"DBH",1.3,185,23,"Tree","height estimated","Centroplacus glaucinus"
"131","Summer_2021",2021-07-19,"DF_3B","H8/I9","4342",1.8,1,"CP",0.5,9.8,1.63,"Liana","","Xylodelphis ogiana"
"132","Summer_2021",2021-07-19,"DF_3B","H8/I9","7959",2.3,2.15,"CP",1.3,28.9,3.9,"Sapling","","Lichostema glanscesens"
"133","Summer_2021",2021-07-19,"DF_3B","H8/I9","945",0.6,0.75,"CP",1,18.7,3.3,"Liana","","ECH 42"
"134","Summer_2021",2021-07-19,"DF_3B","H8/I9","7131",3,0,"CP",1,17.5,1.95,"Liana","","#N/A"
"135","Summer_2021",2021-07-19,"DF_3B","H8/I9","3082",3.7,1.1,"CP",0.4,11.3,1.75,"Liana","","ECH 18"
"136","Summer_2021",2021-07-19,"DF_3B","H8/I9","3083",4.2,1.3,"CP",1.3,20.5,2.4,"Sapling","","Lichostema glanscesens"
"137","Summer_2021",2021-07-19,"DF_3B","H8/I9","4318",4.4,2.45,"CP",0.5,24.3,2.19,"Liana","","ECH 42"
"138","Summer_2021",2021-07-19,"DF_3B","H8/I9","1441",4.3,2.9,"CP",0.4,14.7,2,"Sapling","","Odjendja gabonensis"
"139","Summer_2021",2021-07-19,"DF_3B","H8/I9","1968",3.7,3.15,"CP",1.3,31.5,3.7,"Sapling","","Lichostema glanscesens"
"140","Summer_2021",2021-07-19,"DF_3B","H8/I9","2192",4.3,1.6,"CP",1,13.3,1.5,"Sapling","","ECH 48"
"141","Summer_2021",2021-07-19,"DF_3B","I8/J9","2183",0.8,0.65,"CP",1,11.4,2.2,"Sapling","ECH 73","Rinorea sp 1"
"142","Summer_2021",2021-07-19,"DF_3B","I8/J9","3889",1.4,1.7,"CP",0.4,13.5,2,"Liana","biggest fork","ECH 24"
"143","Summer_2021",2021-07-19,"DF_3B","I8/J9","3825",1.4,1.8,"CP",0.3,3.7,1.8,"Liana","","#N/A"
"144","Summer_2021",2021-07-19,"DF_3B","I8/J9","2148",0.3,1.9,"CP",0.3,10.9,1.9,"Liana","","ECH 43"
"145","Summer_2021",2021-07-19,"DF_3B","I8/J9","3875",0.4,2,"CP",0.5,13.7,1.7,"Sapling","","ECH 48"
"146","Summer_2021",2021-07-19,"DF_3B","I8/J9","3150",1.5,4.6,"CP",0.4,13.7,2,"Liana","","Oddoniodendron sp 1"
"147","Summer_2021",2021-07-19,"DF_3B","I8/J9","3111",1.7,4.7,"CP",1,26.8,23,"Liana","height estimated","Undetermined"
"148","Summer_2021",2021-07-19,"DF_3B","I8/J9","39",2.5,5,"CP",0.4,11.9,1.9,"Liana","","ECH 24"
"149","Summer_2021",2021-07-19,"DF_3B","I8/J9","2152",3.4,5,"CP",0.4,10.2,1.6,"Sapling","","ECH 48"
"150","Summer_2021",2021-07-19,"DF_3B","I8/J9","3513",3.1,4.6,"DBH",1.3,109,10.5,"Sapling","height estimated","#N/A"
"151","Summer_2021",2021-07-19,"DF_3B","I8/J9","2189",3.8,4.1,"CP",0.3,16.4,2.2,"Sapling","","Clenianthus gabonii"
"152","Summer_2021",2021-07-19,"DF_3B","G8/H9","7054",0.2,4.4,"CP",0.3,6.4,2.5,"Liana","","Holmania denquelmaniana"
"153","Summer_2021",2021-07-19,"DF_3B","G8/H9","7028",0.05,4.7,"CP",0.4,10.2,2.07,"Liana","","ECH 36"
"154","Summer_2021",2021-07-19,"DF_3B","G8/H9","7006",1.4,4,"CP",0.4,11.8,3,"Liana","","Holmania denquelmaniana"
"155","Summer_2021",2021-07-19,"DF_3B","G8/H9","7019",2,4,"CP",0.3,7.8,3.1,"Liana","","Holmania denquelmaniana"
"156","Summer_2021",2021-07-19,"DF_3B","G8/H9","2531",4.5,3.1,"CP",0.4,15.7,1.7,"Sapling","","Coffea sp 1"
"157","Summer_2021",2021-07-19,"DF_3B","G8/H9","7015",4.9,2.5,"CP",1,16.7,2.8,"Sapling","","Warneckea sp 1"
"158","Summer_2021",2021-07-19,"DF_3B","G8/H9","7031",4.5,1.8,"CP",0.5,32.7,2.1,"Sapling","","Napoleonaea vogelii"
"159","Summer_2021",2021-07-19,"DF_3B","G8/H9","7290",4.7,0.4,"CP",0.3,11.3,1.7,"Liana","","Agelaea paradoxa"
"160","Summer_2021",2021-07-19,"DF_3B","H8/I9","635",0.9,3,"CP",1.1,39.7,20,"Liana","height estimated","Undetermined"
"161","Summer_2021",2021-07-19,"DF_3B","H8/I9","5401",1.2,2.6,"DBH",1.1,99,20,"Liana","height estimated","#N/A"
"162","Summer_2021",2021-07-19,"DF_3B","H8/I9","3328",0.5,4.3,"DBH",1.3,539,27,"Tree","height estimated","Distemonanthus benthamianus"
"163","Summer_2021",2021-07-19,"DF_3B","H8/I9","3694",0.75,5,"DBH",1.3,50,9,"Sapling","height estimated","Lichostema glanscesens"
"164","Summer_2021",2021-07-19,"DF_3B","H8/I9","7012",0.2,3.95,"CP",1,16.7,2,"Sapling","","#N/A"
"165","Summer_2021",2021-07-19,"DF_3B","H8/I9","995",0.5,2.8,"CP",0.4,10.7,2,"Sapling","","Campylospermum elongatum"
"166","Summer_2021",2021-07-19,"DF_3B","H8/I9","5140",2.4,2.7,"CP",0.3,11.9,4,"Liana","","Xylodelphis ogiana"
"167","Summer_2021",2021-07-19,"DF_3B","H8/I9","416",1.8,3.2,"CP",1.3,11.5,2.4,"Sapling","","Garcinia afzelii"
"168","Summer_2021",2021-07-19,"DF_3B","H8/I9","3309",2.1,3.4,"CP",0.5,10.1,1.8,"Sapling","","Baphia leptobotrys"
"169","Summer_2021",2021-07-19,"DF_3B","H8/I9","5155",1.9,4.2,"CP",0.5,9.4,1.65,"Liana","","#N/A"
"170","Summer_2021",2021-07-19,"DF_3B","H8/I9","7926",2.5,1.9,"CP",0.4,11.8,1.6,"Sapling","","Dichranolepsis sp 1"
"171","Summer_2021",2021-07-19,"DF_3B","H8/I9","7063",2.45,1.9,"CP",0.3,8.3,1.8,"Sapling","","ECH 18"
"172","Summer_2021",2021-07-19,"DF_3B","H8/I9","1269",2.8,1.45,"CP",0.4,10.2,1.8,"Sapling","","Greenwayodendron suaveolens"
"173","Summer_2021",2021-07-19,"DF_3B","E8/F9","7541",1,1.8,"CP",0.5,16.7,2.7,"Liana","","ECH 36"
"174","Summer_2021",2021-07-19,"DF_3B","E8/F9","1355",1.3,1.8,"CP",0.3,6.5,5,"Liana","","ECH 50"
"175","Summer_2021",2021-07-19,"DF_3B","E8/F9","7669",1.3,1.8,"CP",1.3,33.4,5,"Sapling","","#N/A"
"176","Summer_2021",2021-07-19,"DF_3B","E8/F9","35",2.2,2.1,"CP",0.5,13.2,1.9,"Liana","","ECH 24"
"177","Summer_2021",2021-07-19,"DF_3B","E8/F9","5493",2,2.5,"CP",1.3,13.7,2,"Liana","","ECH 46"
"178","Summer_2021",2021-07-19,"DF_3B","E8/F9","7182",2.2,2.5,"CP",0.3,12.5,1.8,"Sapling","","Baphia leptobotrys"
"179","Summer_2021",2021-07-19,"DF_3B","E8/F9","5024",1.8,4.8,"CP",0.3,19.4,1.66,"Sapling","","ECH 42"
"180","Summer_2021",2021-07-19,"DF_3B","E8/F9","7504",3.2,3.7,"CP",0.3,14.8,2.26,"Sapling","","ECH 18"
"181","Summer_2021",2021-07-19,"DF_3B","E8/F9","2612",3.3,3.7,"CP",1.3,26.5,8,"Sapling","height estimated","Greenwayodendron suaveolens"
"182","Summer_2021",2021-07-19,"DF_3B","G8/H9","7011",0,0.4,"CP",1.3,17.5,3.1,"Sapling","","ECH 55"
"183","Summer_2021",2021-07-19,"DF_3B","G8/H9","7007",0.4,0.6,"CP",1,11.9,2.3,"Sapling","","Phyllanthus diandrus"
"184","Summer_2021",2021-07-19,"DF_3B","G8/H9","7321",1.2,0.25,"CP",1.3,27.8,2.7,"Sapling","","Baphia leptobotrys"
"185","Summer_2021",2021-07-19,"DF_3B","G8/H9","7293",1.7,1,"CP",0.5,17.3,3.45,"Sapling","","ECH 42"
"186","Summer_2021",2021-07-19,"DF_3B","G8/H9","7276",1.6,0,"CP",0.4,11.7,1.75,"Sapling","","#N/A"
"187","Summer_2021",2021-07-19,"DF_3B","G8/H9","7268",2.2,1.15,"CP",0.3,6.7,1.6,"Sapling","","Garcinia afzelii"
"188","Summer_2021",2021-07-19,"DF_3B","G8/H9","1420",2.2,2,"CP",0.4,12.7,1.65,"Liana","","ECH 24"
"189","Summer_2021",2021-07-19,"DF_3B","G8/H9","7010",0.5,3.3,"CP",0.4,10.6,4,"Liana","","Holmania denquelmaniana"
"190","Summer_2021",2021-07-19,"DF_3B","G8/H9","7013",0.7,2.4,"CP",1.3,22.7,3.3,"Sapling","","ECH 47"
"191","Summer_2021",2021-07-19,"DF_3B","G8/H9","7025",0.2,2.5,"CP",1.3,46.2,3,"Sapling","","ECH 47"
"192","Summer_2021",2021-07-19,"DF_3B","G8/H9","7062",0.1,2.5,"CP",0.3,4.8,2.8,"Liana","","#N/A"
