Expedition,Data_entry,Date (dd/mm/yyyy),File_name,Date (dd/mm/yyyy),Note_taker,Project,Plot,Grid,TAG_SUM,Plant_tag,X_coord,Y_coord,Tool,POM,DBH (mm),Height (meters),Type_Field,Note_Field,ID,Treatment
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_9654,9654,3.20,4.60,CP,0.30,13.30,1.70,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_6758,6758,4.50,1.40,CP,0.30,14.70,1.60,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_9441,9441,3.60,0.70,CP,0.30,18.60,1.80,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_8435,8435,2.50,0.20,CP,1.30,27.70,2.30,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_9336,9336,2.00,2.00,CP,1.30,16.70,5.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_9546,9546,1.50,1.30,CP,0.30,11.80,1.70,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_6910,6910,1.30,1.10,CP,0.20,13.70,1.70,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,I10/J11,DF_4B_I10/J11_5589,5589,0.30,2.60,DBH,1.30,54.00,6.75,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,I10/J11,DF_4B_I10/J11_7568,7568,1.00,1.60,DBH,1.00,73.00,6.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,I10/J11,DF_4B_I10/J11_9545,9545,0.60,3.10,CP,0.30,14.10,1.60,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,I10/J11,DF_4B_I10/J11_9344,9344,0.50,1.90,CP,0.30,17.90,1.80,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,I10/J11,DF_4B_I10/J11_6734,6734,0.60,0.80,CP,1.30,45.30,7.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,I10/J11,DF_4B_I10/J11_6503,6503,2.30,1.10,CP,0.60,33.20,3.37,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,I10/J11,DF_4B_I10/J11_6318,6318,2.50,0.60,CP,0.30,5.50,1.90,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,I10/J11,DF_4B_I10/J11_8903,8903,3.10,3.00,CP,0.30,15.50,1.60,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,I10/J11,DF_4B_I10/J11_6038,6038,4.30,2.40,CP,0.30,12.30,1.58,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,I10/J11,DF_4B_I10/J11_9048,9048,3.90,4.80,CP,1.30,12.00,2.10,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_9107,9107,0.40,0.50,CP,1.30,19.00,1.30,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_8476,8476,0.30,2.50,CP,0.30,14.30,1.80,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_8182,8182,0.20,2.70,CP,0.30,12.20,2.00,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_6224,6224,0.90,2.20,DBH,1.30,71.00,7.80,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_9320,9320,0.50,5.00,DBH,1.20,79.00,7.30,Liana,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_7803,7803,1.00,3.50,DBH,0.70,71.00,7.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_6044,6044,1.50,4.30,CP,0.30,13.30,1.80,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_9421,9421,2.10,3.70,CP,0.30,13.00,2.10,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_6410,6410,2.00,3.70,CP,0.30,13.70,1.80,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_8948,8948,1.90,3.50,CP,1.30,40.60,5.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_6191,6191,2.40,3.10,CP,0.30,10.80,1.70,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2202,23/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_6126,6126,2.50,4.00,CP,0.30,9.20,3.00,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2203,28/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_6762,6762,3.20,4.00,CP,0.30,12.30,1.90,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2203,28/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_9945,9945,3.50,5.00,CP,1.30,8.40,2.07,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2203,28/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_6185,6185,4.40,4.20,CP,0.30,8.40,1.60,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2203,28/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_8006,8006,3.00,3.30,CP,0.30,66.90,1.80,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2203,28/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_9321,9321,3.20,3.90,CP,0.30,8.40,7.00,Liana,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2203,28/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_6742,6742,3.90,2.00,DBH,1.30,65.00,7.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2203,28/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_9266,9266,3.50,1.90,DBH,1.30,57.00,8.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2203,28/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_9697,9697,2.80,0.80,CP,1.30,16.50,2.50,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2203,28/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_9848,9848,3.20,1.90,CP,0.30,10.40,2.00,Liana,biggest trunk measured,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2203,28/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_9254,9254,3.30,1.90,CP,0.30,11.80,2.00,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2203,28/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_6701,6701,1.70,0.30,DBH,1.30,87.00,9.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2203,28/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_6990,6990,4.80,1.50,CP,1.20,6.50,1.80,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2203,28/07/2021,Yannick,DF,4B,J10/K11,DF_4B_J10/K11_2198,2198,4.20,1.80,DBH,1.80,480.00,33.00,tree,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_6745,6745,0.90,1.00,CP,1.30,17.90,2.80,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_8021,8021,0.80,1.90,CP,1.30,26.70,4.90,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_5087,5087,0.50,4.10,CP,1.30,13.10,2.30,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_8215,8215,0.50,2.20,CP,0.30,3.20,3.40,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_6445,6445,0.20,4.60,CP,1.30,46.10,7.00,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_6526,6526,1.60,2.70,CP,1.30,17.50,3.40,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_3251,3251,1.60,2.60,CP,0.30,8.10,6.00,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_6382,6382,0.80,2.80,CP,0.20,10.60,3.00,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_9220,9220,2.10,2.30,CP,0.30,12.30,2.00,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_6262,6262,2.20,2.80,CP,0.30,11.20,1.60,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_8114,8114,2.70,2.40,CP,0.30,16.90,7.00,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_9038,9038,3.40,1.70,CP,1.30,10.80,1.60,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_6655,6655,4.50,0.20,CP,0.30,12.50,1.80,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_6482,6482,4.80,0.30,CP,0.30,8.40,1.90,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_6145,6145,2.50,1.40,CP,0.30,12.10,2.60,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_9263,9263,2.80,4.20,CP,1.30,9.20,2.50,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_8329,8329,2.10,4.60,CP,1.30,12.00,2.60,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_6464,6464,1.60,5.00,CP,0.30,6.50,2.60,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_9403,9403,2.00,4.60,CP,0.30,10.60,1.80,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_8184,8184,4.80,4.40,CP,1.30,37.50,7.00,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1972,26/07/2021,Yannick,DF,4B,A1/B2,DF_4B_A1/B2_8080,8080,3.40,0.10,CP,0.30,5.20,7.00,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_8015,8015,1.70,2.60,DBH,0.50,106.00,15.00,Liana,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_6452,6452,1.30,2.60,CP,0.50,44.70,4.60,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_6947,6947,1.30,1.10,CP,1.30,14.70,2.50,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_6109,6109,1.50,0.80,DBH,1.70,476.00,25.00,tree,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_6438,6438,3.00,0.00,CP,1.30,26.00,4.00,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_9487,9487,3.70,1.60,CP,1.00,14.90,1.90,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_9365,9365,4.70,1.70,CP,1.30,16.10,4.30,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_6954,6954,4.80,0.20,CP,0.30,16.70,2.50,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_9109,9109,5.00,2.50,CP,1.20,15.50,1.80,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_9744,9744,4.00,2.90,CP,0.30,14.30,2.30,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_2588,2588,3.50,3.40,CP,1.30,16.70,2.90,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_6224,6224,3.70,3.70,CP,0.30,12.80,1.50,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_6484,6484,3.20,4.00,CP,1.30,13.50,2.30,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_9922,9922,0.70,4.20,CP,1.30,25.10,4.30,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,E1/F2,DF_4B_E1/F2_6901,6901,0.80,3.80,CP,0.30,9.40,4.30,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,F1/G2,DF_4B_F1/G2_8919,8919,0.30,3.20,DBH,1.30,56.00,15.00,tree,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,F1/G2,DF_4B_F1/G2_6709,6709,0.70,5.00,CP,1.20,36.10,3.20,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,F1/G2,DF_4B_F1/G2_9272,9272,2.70,5.00,CP,0.30,14.30,1.60,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,F1/G2,DF_4B_F1/G2_6205,6205,3.30,3.30,CP,1.30,11.20,2.40,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,F1/G2,DF_4B_F1/G2_6096,6096,3.40,2.20,CP,0.30,14.70,2.70,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1973,26/07/2021,Yannick,DF,4B,F1/G2,DF_4B_F1/G2_6748,6748,3.50,2.90,CP,1.20,24.70,5.00,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,C1/D2,DF_4B_C1/D2_8250,8250,3.70,2.00,CP,0.40,10.40,1.50,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,C1/D2,DF_4B_C1/D2_6977,6977,3.40,3.10,CP,0.30,12.70,1.70,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,C1/D2,DF_4B_C1/D2_9093,9093,3.10,2.80,DBH,1.30,233.00,25.00,tree,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,C1/D2,DF_4B_C1/D2_9429,9429,4.00,4.00,CP,1.30,16.70,3.10,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,C1/D2,DF_4B_C1/D2_9951,9951,3.50,4.60,CP,0.30,12.30,1.70,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,C1/D2,DF_4B_C1/D2_8448,8448,4.00,4.40,CP,0.30,6.90,1.80,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,C1/D2,DF_4B_C1/D2_7166,7166,4.30,4.60,CP,0.30,7.20,4.10,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,C1/D2,DF_4B_C1/D2_6293,6293,4.80,5.00,DBH,1.30,63.00,8.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,C1/D2,DF_4B_C1/D2_6685,6685,3.90,5.00,DBH,1.30,72.00,8.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,D1/E2,DF_4B_D1/E2_6684,6684,1.90,1.00,DBH,1.50,501.00,35.00,tree,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,D1/E2,DF_4B_D1/E2_6242,6242,2.10,3.00,CP,1.30,40.60,7.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,D1/E2,DF_4B_D1/E2_6979,6979,2.30,2.80,DBH,1.30,106.00,12.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,D1/E2,DF_4B_D1/E2_9702,9702,1.60,4.50,CP,1.30,14.70,3.10,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_1974,26/07/2021,Yannick,DF,4B,D1/E2,DF_4B_D1/E2_8054,8054,3.30,4.10,CP,1.30,19.80,2.80,sapling,,#N/A,LMC
